full_ID,temp,wg,start_date,start_datetime,end_datetime,is_valid,notes
MS_Eldo_M_02,43,626,8/30/2023,,,,
MS_Eldo_M_03,43,688,8/30/2023,,,,
MS_Eldo_M_04,,,8/30/2023,,,,
MS_Eldo_M_05,,,8/30/2023,,,,
MS_Eldo_M_06,,,8/30/2023,,,,
MS_Eldo_M_07,23,646,8/30/2023,,,,
MS_Eldo_M_08,,,8/30/2023,,,,
MS_Eldo_M_09,43,678,8/30/2023,,,M,hopefully not dead?
MS_Eldo_M_10,,,8/30/2023,,,,
MS_Eldo_M_11,43,625,8/30/2023,,,,
MS_Eldo_M_12,,,8/30/2023,,,,
MS_Eldo_M_13,23,623,8/30/2023,,,,
MS_Eldo_M_14,,,8/30/2023,,,,
MS_Eldo_M_15,43,632,8/30/2023,,,,
MS_Eldo_M_16,,,8/30/2023,,,,
MS_Eldo_M_17,43,636,8/30/2023,,,,
MS_Eldo_M_18,23,622,8/30/2023,,,,
MS_Eldo_M_19,43,681,8/30/2023,,,,
MS_Eldo_M_20,,,8/30/2023,,,,
MS_Eldo_M_21,43,,8/30/2023,,,,
,,,,,,,
MS_A1_F_01,23,638,8/30/2023,,,,
MS_A1_F_02,,,8/30/2023,,,,
MS_A1_F_03,43,673,8/30/2023,,,,
MS_A1_F_04,23,651,8/30/2023,,,,
MS_A1_F_05,43,630,8/30/2023,,,,
MS_A1_F_06,23,680,8/30/2023,,,,
MS_A1_F_07,,,8/30/2023,,,,
MS_A1_F_08,,,8/30/2023,,,,
MS_A1_F_09,,,8/30/2023,,,,
MS_A1_F_10,,,8/30/2023,,,,
MS_A1_F_11,,,8/30/2023,,,,
MS_A1_F_12,,,8/30/2023,,,,
MS_A1_F_13,,,8/30/2023,,,,
MS_A1_F_14,,,8/30/2023,,,,
MS_A1_F_15,,,8/30/2023,,,,
MS_A1_F_16,,,8/30/2023,,,,
MS_A1_F_17,,,8/30/2023,,,,
MS_A1_F_18,,,8/30/2023,,,,
MS_A1_F_19,43,,8/30/2023,,,,
MS_A1_F_20,,,8/30/2023,,,,
